entry,at,order
"""timh @ IDAaB_gryp"" bets 10.05 and go all in",2024-12-16T05:00:33.407Z,173432523340700
"Turn: 7♥, 5♠, 9♦ [A♥]",2024-12-16T05:00:31.720Z,173432523172000
"""timh @ IDAaB_gryp"" calls 6.50",2024-12-16T05:00:30.888Z,173432523088800
"""Pablo @ h6PkxSmy50"" folds",2024-12-16T05:00:28.500Z,173432522850000
"""Davis @ MxiH63B6Pl"" folds",2024-12-16T05:00:27.579Z,173432522757900
"""willdevens @ sVfd-WUsjU"" bets 6.50",2024-12-16T05:00:26.076Z,173432522607600
"""timh @ IDAaB_gryp"" checks",2024-12-16T05:00:19.414Z,173432521941400
"""Pablo @ h6PkxSmy50"" checks",2024-12-16T05:00:18.507Z,173432521850700
"Flop:  [7♥, 5♠, 9♦]",2024-12-16T05:00:11.686Z,173432521168600
"""timh @ IDAaB_gryp"" calls 2.00",2024-12-16T05:00:10.850Z,173432521085000
"""Pablo @ h6PkxSmy50"" calls 2.00",2024-12-16T05:00:08.672Z,173432520867200
"""Spence @ cbvju-2iMm"" folds",2024-12-16T05:00:07.731Z,173432520773100
"""slick nick @ Ch6VcKk8xd"" folds",2024-12-16T05:00:06.788Z,173432520678800
"""Avery @ 2TyZTIIMz8"" folds",2024-12-16T05:00:05.807Z,173432520580700
"""Davis @ MxiH63B6Pl"" calls 2.00",2024-12-16T05:00:02.545Z,173432520254500
"""Carver @ iHIG57mx6P"" folds",2024-12-16T04:59:51.748Z,173432519174800
"""willdevens @ sVfd-WUsjU"" raises to 2.00",2024-12-16T04:59:50.427Z,173432519042700
"""timh @ IDAaB_gryp"" raises to 0.60",2024-12-16T04:59:43.412Z,173432518341200
"""Ryan @ 3GSe5nlH1c"" folds",2024-12-16T04:59:40.777Z,173432518077700
"""Pablo @ h6PkxSmy50"" posts a big blind of 0.20",2024-12-16T04:59:39.595Z,173432517959512
"""Spence @ cbvju-2iMm"" posts a small blind of 0.10",2024-12-16T04:59:39.595Z,173432517959511
