entry,at,order
"The player ""nick @ Ch6VcKk8xd"" stand up with the stack of 35.49.",2024-12-14T22:19:29.736Z,173421476973600
"The player ""Ryan Gohlmann @ 3GSe5nlH1c"" quits the game with a stack of 27.74.",2024-12-14T22:18:45.016Z,173421472501600
"-- ending hand #128 --",2024-12-14T22:18:39.031Z,173421471903102
"""nick @ Ch6VcKk8xd"" collected 1.20 from pot",2024-12-14T22:18:39.031Z,173421471903101
"Uncalled bet of 0.20 returned to ""nick @ Ch6VcKk8xd""",2024-12-14T22:18:39.031Z,173421471903100
"""Ryan Gohlmann @ 3GSe5nlH1c"" folds",2024-12-14T22:18:38.219Z,173421471821900
"""nick @ Ch6VcKk8xd"" bets 0.20",2024-12-14T22:18:35.430Z,173421471543000
"Flop:  [J♣, 3♠, 4♠]",2024-12-14T22:18:29.715Z,173421470971500
"""nick @ Ch6VcKk8xd"" calls 0.60",2024-12-14T22:18:28.861Z,173421470886100
"""Ryan Gohlmann @ 3GSe5nlH1c"" raises to 0.60",2024-12-14T22:18:23.892Z,173421470389200
"""nick @ Ch6VcKk8xd"" posts a big blind of 0.20",2024-12-14T22:18:20.648Z,173421470064805
"""Ryan Gohlmann @ 3GSe5nlH1c"" posts a small blind of 0.10",2024-12-14T22:18:20.648Z,173421470064804
"Player stacks: #6 ""nick @ Ch6VcKk8xd"" (34.89) | #9 ""Ryan Gohlmann @ 3GSe5nlH1c"" (28.34)",2024-12-14T22:18:20.648Z,173421470064801
"-- starting hand #128 (id: bfo0mnk209v7)  (No Limit Texas Hold'em) (dealer: ""Ryan Gohlmann @ 3GSe5nlH1c"") --",2024-12-14T22:18:20.648Z,173421470064800
"-- ending hand #127 --",2024-12-14T22:18:17.708Z,173421469770802
"""Ryan Gohlmann @ 3GSe5nlH1c"" collected 1.20 from pot",2024-12-14T22:18:17.708Z,173421469770801
"Uncalled bet of 1.40 returned to ""Ryan Gohlmann @ 3GSe5nlH1c""",2024-12-14T22:18:17.708Z,173421469770800
