entry,at,order
"The player ""Cal @ -MB8uhJ5iL"" stand up with the stack of 189.40.",2024-12-14T05:26:40.942Z,173415400094200
"-- ending hand #178 --",2024-12-14T05:26:34.936Z,173415399493602
"""Cal @ -MB8uhJ5iL"" collected 0.80 from pot with K High (combination: K♦, Q♦, J♦, 10♣, 8♦)",2024-12-14T05:26:34.936Z,173415399493601
"""Cal @ -MB8uhJ5iL"" shows a 6♣, J♦.",2024-12-14T05:26:34.936Z,173415399493600
"""Cal @ -MB8uhJ5iL"" checks",2024-12-14T05:26:34.123Z,173415399412300
"""Hanley @ vAjumxW6Uc"" checks",2024-12-14T05:26:32.719Z,173415399271900
"River: 8♦, K♦, Q♦, 10♣ [4♣]",2024-12-14T05:26:31.224Z,173415399122400
"""Hanley @ vAjumxW6Uc"" calls 0.20",2024-12-14T05:26:30.399Z,173415399039900
"""Cal @ -MB8uhJ5iL"" bets 0.20",2024-12-14T05:26:29.133Z,173415398913300
"""Hanley @ vAjumxW6Uc"" checks",2024-12-14T05:26:26.591Z,173415398659100
"Turn: 8♦, K♦, Q♦ [10♣]",2024-12-14T05:26:24.124Z,173415398412400
"""Cal @ -MB8uhJ5iL"" checks",2024-12-14T05:26:23.253Z,173415398325300
"""Hanley @ vAjumxW6Uc"" checks",2024-12-14T05:26:21.412Z,173415398141200
"Flop:  [8♦, K♦, Q♦]",2024-12-14T05:26:19.439Z,173415397943900
"""Hanley @ vAjumxW6Uc"" checks",2024-12-14T05:26:18.598Z,173415397859800
"""Cal @ -MB8uhJ5iL"" calls 0.20",2024-12-14T05:26:17.193Z,173415397719300
"""Hanley @ vAjumxW6Uc"" posts a big blind of 0.20",2024-12-14T05:26:14.764Z,173415397476406
"""Cal @ -MB8uhJ5iL"" posts a small blind of 0.10",2024-12-14T05:26:14.764Z,173415397476405
"Player stacks: #1 ""Hanley @ vAjumxW6Uc"" (80.05) | #6 ""Cal @ -MB8uhJ5iL"" (189.00)",2024-12-14T05:26:14.764Z,173415397476402
"-- starting hand #178 (id: ftaivrcykqmn)  (No Limit Texas Hold'em) (dealer: ""Cal @ -MB8uhJ5iL"") --",2024-12-14T05:26:14.764Z,173415397476401
"The player ""davis @ MxiH63B6Pl"" stand up with the stack of 45.95.",2024-12-14T05:26:14.764Z,173415397476400
"""Cal @ -MB8uhJ5iL"" shows a 2♦, 9♣.",2024-12-14T05:26:13.357Z,173415397335700
"-- ending hand #177 --",2024-12-14T05:26:08.123Z,173415396812302
"""davis @ MxiH63B6Pl"" collected 0.50 from pot",2024-12-14T05:26:08.123Z,173415396812301
"Uncalled bet of 0.80 returned to ""davis @ MxiH63B6Pl""",2024-12-14T05:26:08.123Z,173415396812300
"""Hanley @ vAjumxW6Uc"" folds",2024-12-14T05:26:07.265Z,173415396726500
"""davis @ MxiH63B6Pl"" raises to 1.00",2024-12-14T05:26:03.390Z,173415396339000
"""Cal @ -MB8uhJ5iL"" folds",2024-12-14T05:25:58.079Z,173415395807900
"""Hanley @ vAjumxW6Uc"" calls 0.20",2024-12-14T05:25:55.470Z,173415395547000
"""davis @ MxiH63B6Pl"" posts a big blind of 0.20",2024-12-14T05:25:53.844Z,173415395384407
"""Cal @ -MB8uhJ5iL"" posts a small blind of 0.10",2024-12-14T05:25:53.844Z,173415395384406
"Player stacks: #1 ""Hanley @ vAjumxW6Uc"" (80.25) | #6 ""Cal @ -MB8uhJ5iL"" (189.10) | #10 ""davis @ MxiH63B6Pl"" (45.65)",2024-12-14T05:25:53.844Z,173415395384402
