entry,at,order
"The player ""gtodev @ sVfd-WUsjU"" quits the game with a stack of 0.00.",2024-12-16T21:15:26.417Z,173438372641700
"-- ending hand #175 --",2024-12-16T21:15:21.399Z,173438372139902
"""eike @ codPT618if"" collected 8.95 from pot with Full House, 10's over Q's on the second run  (combination: 10♠, 10♥, 10♣, Q♠, Q♥)",2024-12-16T21:15:21.399Z,173438372139901
"""eike @ codPT618if"" collected 8.95 from pot with Pair, 8's (combination: 8♥, 8♠, A♣, K♦, 10♠)",2024-12-16T21:15:21.399Z,173438372139900
"River (second run): Q♠, 10♥, 2♦, 10♣ [Q♥]",2024-12-16T21:15:17.392Z,173438371739200
"Turn (second run): Q♠, 10♥, 2♦ [10♣]",2024-12-16T21:15:13.387Z,173438371338700
"Flop (second run):  [Q♠, 10♥, 2♦]",2024-12-16T21:15:09.369Z,173438370936900
"River: K♦, 8♠, 7♠, A♣ [2♥]",2024-12-16T21:15:05.366Z,173438370536600
"Turn: K♦, 8♠, 7♠ [A♣]",2024-12-16T21:15:01.311Z,173438370131100
"Flop:  [K♦, 8♠, 7♠]",2024-12-16T21:14:57.294Z,173438369729400
"""eike @ codPT618if"" shows a 10♠, 8♥.",2024-12-16T21:14:53.272Z,173438369327200
"""gtodev @ sVfd-WUsjU"" shows a 4♦, 2♣.",2024-12-16T21:14:53.040Z,173438369304000
"All players in hand choose to run it twice.",2024-12-16T21:14:52.464Z,173438369246401
"""gtodev @ sVfd-WUsjU"" chooses to  run it twice.",2024-12-16T21:14:52.464Z,173438369246400
"""eike @ codPT618if"" chooses to  run it twice.",2024-12-16T21:14:52.227Z,173438369222700
"Remaining players decide whether to run it twice.",2024-12-16T21:14:51.279Z,173438369127901
"""gtodev @ sVfd-WUsjU"" calls 8.95 and go all in",2024-12-16T21:14:51.279Z,173438369127900
"""eike @ codPT618if"" raises to 8.95",2024-12-16T21:14:50.294Z,173438369029400
"""gtodev @ sVfd-WUsjU"" posts a big blind of 0.20",2024-12-16T21:14:48.684Z,173438368868405
"""eike @ codPT618if"" posts a small blind of 0.10",2024-12-16T21:14:48.684Z,173438368868404
"Player stacks: #1 ""eike @ codPT618if"" (31.05) | #10 ""gtodev @ sVfd-WUsjU"" (8.95)",2024-12-16T21:14:48.684Z,173438368868401
"-- starting hand #175 (id: cszpie9gwlkc)  (No Limit Texas Hold'em) (dealer: ""eike @ codPT618if"") --",2024-12-16T21:14:48.684Z,173438368868400
"-- ending hand #174 --",2024-12-16T21:14:38.351Z,173438367835102
"""eike @ codPT618if"" collected 0.40 from pot",2024-12-16T21:14:38.351Z,173438367835101
"Uncalled bet of 0.20 returned to ""eike @ codPT618if""",2024-12-16T21:14:38.351Z,173438367835100
"""gtodev @ sVfd-WUsjU"" folds",2024-12-16T21:14:37.545Z,173438367754500
"""eike @ codPT618if"" bets 0.20",2024-12-16T21:14:36.643Z,173438367664300
"Flop:  [5♠, 9♥, 3♠]",2024-12-16T21:14:34.633Z,173438367463300
"""eike @ codPT618if"" checks",2024-12-16T21:14:33.764Z,173438367376400
"""gtodev @ sVfd-WUsjU"" calls 0.20",2024-12-16T21:14:32.484Z,173438367248400
"""eike @ codPT618if"" posts a big blind of 0.20",2024-12-16T21:14:30.944Z,173438367094405
"""gtodev @ sVfd-WUsjU"" posts a small blind of 0.10",2024-12-16T21:14:30.944Z,173438367094404
"Player stacks: #1 ""eike @ codPT618if"" (30.85) | #10 ""gtodev @ sVfd-WUsjU"" (9.15)",2024-12-16T21:14:30.944Z,173438367094401
"-- starting hand #174 (id: w4lfyp9fzolw)  (No Limit Texas Hold'em) (dealer: ""gtodev @ sVfd-WUsjU"") --",2024-12-16T21:14:30.944Z,173438367094400
"""gtodev @ sVfd-WUsjU"" shows a Q♣.",2024-12-16T21:14:28.399Z,173438366839900
"-- ending hand #173 --",2024-12-16T21:14:27.330Z,173438366733002
"""gtodev @ sVfd-WUsjU"" collected 0.40 from pot",2024-12-16T21:14:27.330Z,173438366733001
"Uncalled bet of 1.50 returned to ""gtodev @ sVfd-WUsjU""",2024-12-16T21:14:27.330Z,173438366733000
"""eike @ codPT618if"" folds",2024-12-16T21:14:26.507Z,173438366650700
"""gtodev @ sVfd-WUsjU"" bets 1.50",2024-12-16T21:14:25.606Z,173438366560600
"River: 7♠, J♠, J♦, K♣ [3♥]",2024-12-16T21:14:23.927Z,173438366392700
"""eike @ codPT618if"" checks",2024-12-16T21:14:23.086Z,173438366308600
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:14:22.203Z,173438366220300
"Turn: 7♠, J♠, J♦ [K♣]",2024-12-16T21:14:21.615Z,173438366161500
"""eike @ codPT618if"" checks",2024-12-16T21:14:20.731Z,173438366073100
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:14:19.641Z,173438365964100
"Flop:  [7♠, J♠, J♦]",2024-12-16T21:14:18.724Z,173438365872400
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:14:17.896Z,173438365789600
"""eike @ codPT618if"" calls 0.20",2024-12-16T21:14:17.033Z,173438365703300
"""gtodev @ sVfd-WUsjU"" posts a big blind of 0.20",2024-12-16T21:14:16.119Z,173438365611905
"""eike @ codPT618if"" posts a small blind of 0.10",2024-12-16T21:14:16.119Z,173438365611904
"Player stacks: #1 ""eike @ codPT618if"" (31.05) | #10 ""gtodev @ sVfd-WUsjU"" (8.95)",2024-12-16T21:14:16.119Z,173438365611901
"-- starting hand #173 (id: eps2giiddmwf)  (No Limit Texas Hold'em) (dealer: ""eike @ codPT618if"") --",2024-12-16T21:14:16.119Z,173438365611900
"""gtodev @ sVfd-WUsjU"" shows a K♥, 2♥.",2024-12-16T21:14:12.848Z,173438365284800
"""eike @ codPT618if"" shows a Q♠, 2♠.",2024-12-16T21:14:11.946Z,173438365194600
"-- ending hand #172 --",2024-12-16T21:14:11.775Z,173438365177502
"""eike @ codPT618if"" collected 3.00 from pot",2024-12-16T21:14:11.775Z,173438365177501
"Uncalled bet of 8.95 returned to ""eike @ codPT618if""",2024-12-16T21:14:11.775Z,173438365177500
"""gtodev @ sVfd-WUsjU"" folds",2024-12-16T21:14:10.952Z,173438365095200
"""eike @ codPT618if"" bets 8.95",2024-12-16T21:14:10.029Z,173438365002900
"River: 3♦, 10♣, 9♠, 4♥ [8♦]",2024-12-16T21:14:07.503Z,173438364750300
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:14:06.680Z,173438364668000
"""eike @ codPT618if"" checks",2024-12-16T21:14:05.697Z,173438364569700
"Turn: 3♦, 10♣, 9♠ [4♥]",2024-12-16T21:14:05.098Z,173438364509800
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:14:04.243Z,173438364424300
"""eike @ codPT618if"" checks",2024-12-16T21:14:03.080Z,173438364308000
"Flop:  [3♦, 10♣, 9♠]",2024-12-16T21:14:01.148Z,173438364114800
"""eike @ codPT618if"" calls 1.50",2024-12-16T21:14:00.305Z,173438364030500
"""gtodev @ sVfd-WUsjU"" raises to 1.50",2024-12-16T21:13:57.973Z,173438363797300
"""eike @ codPT618if"" posts a big blind of 0.20",2024-12-16T21:13:55.786Z,173438363578605
"""gtodev @ sVfd-WUsjU"" posts a small blind of 0.10",2024-12-16T21:13:55.786Z,173438363578604
"Player stacks: #1 ""eike @ codPT618if"" (29.55) | #10 ""gtodev @ sVfd-WUsjU"" (10.45)",2024-12-16T21:13:55.786Z,173438363578601
"-- starting hand #172 (id: 5fo3xgrkgdd3)  (No Limit Texas Hold'em) (dealer: ""gtodev @ sVfd-WUsjU"") --",2024-12-16T21:13:55.786Z,173438363578600
"-- ending hand #171 --",2024-12-16T21:13:49.863Z,173438362986302
"""gtodev @ sVfd-WUsjU"" collected 0.20 from pot",2024-12-16T21:13:49.863Z,173438362986301
"Uncalled bet of 0.10 returned to ""gtodev @ sVfd-WUsjU""",2024-12-16T21:13:49.863Z,173438362986300
"""eike @ codPT618if"" folds",2024-12-16T21:13:49.053Z,173438362905300
"""gtodev @ sVfd-WUsjU"" posts a big blind of 0.20",2024-12-16T21:13:48.111Z,173438362811105
"""eike @ codPT618if"" posts a small blind of 0.10",2024-12-16T21:13:48.111Z,173438362811104
"Player stacks: #1 ""eike @ codPT618if"" (29.65) | #10 ""gtodev @ sVfd-WUsjU"" (10.35)",2024-12-16T21:13:48.111Z,173438362811101
"-- starting hand #171 (id: lecjflg1vg6p)  (No Limit Texas Hold'em) (dealer: ""eike @ codPT618if"") --",2024-12-16T21:13:48.111Z,173438362811100
"""eike @ codPT618if"" shows a 7♦, 3♣.",2024-12-16T21:13:44.746Z,173438362474600
"Undealt cards:  [4♠, 10♣, 7♥, Q♥, 5♣]",2024-12-16T21:13:43.569Z,173438362356900
"""gtodev @ sVfd-WUsjU"" shows a 2♥, K♥.",2024-12-16T21:13:41.217Z,173438362121700
"-- ending hand #170 --",2024-12-16T21:13:40.782Z,173438362078202
"""gtodev @ sVfd-WUsjU"" collected 0.40 from pot",2024-12-16T21:13:40.782Z,173438362078201
"Uncalled bet of 1.30 returned to ""gtodev @ sVfd-WUsjU""",2024-12-16T21:13:40.782Z,173438362078200
"""eike @ codPT618if"" folds",2024-12-16T21:13:39.962Z,173438361996200
"""gtodev @ sVfd-WUsjU"" raises to 1.50",2024-12-16T21:13:38.740Z,173438361874000
"""eike @ codPT618if"" posts a big blind of 0.20",2024-12-16T21:13:35.887Z,173438361588705
"""gtodev @ sVfd-WUsjU"" posts a small blind of 0.10",2024-12-16T21:13:35.887Z,173438361588704
"Player stacks: #1 ""eike @ codPT618if"" (29.85) | #10 ""gtodev @ sVfd-WUsjU"" (10.15)",2024-12-16T21:13:35.887Z,173438361588701
"-- starting hand #170 (id: mfpe9ar6u2pl)  (No Limit Texas Hold'em) (dealer: ""gtodev @ sVfd-WUsjU"") --",2024-12-16T21:13:35.887Z,173438361588700
"-- ending hand #169 --",2024-12-16T21:13:29.953Z,173438360995302
"""gtodev @ sVfd-WUsjU"" collected 0.20 from pot",2024-12-16T21:13:29.953Z,173438360995301
"Uncalled bet of 0.10 returned to ""gtodev @ sVfd-WUsjU""",2024-12-16T21:13:29.953Z,173438360995300
"""eike @ codPT618if"" folds",2024-12-16T21:13:29.091Z,173438360909100
"""gtodev @ sVfd-WUsjU"" posts a big blind of 0.20",2024-12-16T21:13:28.397Z,173438360839705
"""eike @ codPT618if"" posts a small blind of 0.10",2024-12-16T21:13:28.397Z,173438360839704
"Player stacks: #1 ""eike @ codPT618if"" (29.95) | #10 ""gtodev @ sVfd-WUsjU"" (10.05)",2024-12-16T21:13:28.397Z,173438360839701
"-- starting hand #169 (id: r4w8atc7p7mk)  (No Limit Texas Hold'em) (dealer: ""eike @ codPT618if"") --",2024-12-16T21:13:28.397Z,173438360839700
"-- ending hand #168 --",2024-12-16T21:13:25.472Z,173438360547202
"""gtodev @ sVfd-WUsjU"" collected 0.80 from pot",2024-12-16T21:13:25.472Z,173438360547201
"Uncalled bet of 1.30 returned to ""gtodev @ sVfd-WUsjU""",2024-12-16T21:13:25.472Z,173438360547200
"""eike @ codPT618if"" folds",2024-12-16T21:13:24.628Z,173438360462800
"""gtodev @ sVfd-WUsjU"" raises to 1.50",2024-12-16T21:13:23.765Z,173438360376500
"""eike @ codPT618if"" bets 0.20",2024-12-16T21:13:21.203Z,173438360120300
"River: 2♥, K♦, 9♥, 7♥ [9♦]",2024-12-16T21:13:18.991Z,173438359899100
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:13:18.154Z,173438359815400
"""eike @ codPT618if"" checks",2024-12-16T21:13:12.698Z,173438359269800
"Turn: 2♥, K♦, 9♥ [7♥]",2024-12-16T21:13:12.393Z,173438359239300
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:13:11.575Z,173438359157500
"""eike @ codPT618if"" checks",2024-12-16T21:13:10.448Z,173438359044800
"Flop:  [2♥, K♦, 9♥]",2024-12-16T21:13:09.758Z,173438358975800
"""eike @ codPT618if"" checks",2024-12-16T21:13:08.939Z,173438358893900
"""gtodev @ sVfd-WUsjU"" calls 0.20",2024-12-16T21:13:07.757Z,173438358775700
"""eike @ codPT618if"" posts a big blind of 0.20",2024-12-16T21:13:06.114Z,173438358611405
"""gtodev @ sVfd-WUsjU"" posts a small blind of 0.10",2024-12-16T21:13:06.114Z,173438358611404
"Player stacks: #1 ""eike @ codPT618if"" (30.35) | #10 ""gtodev @ sVfd-WUsjU"" (9.65)",2024-12-16T21:13:06.114Z,173438358611401
"-- starting hand #168 (id: uvwtez6umwth)  (No Limit Texas Hold'em) (dealer: ""gtodev @ sVfd-WUsjU"") --",2024-12-16T21:13:06.114Z,173438358611400
"""eike @ codPT618if"" shows a J♠.",2024-12-16T21:13:03.604Z,173438358360400
"-- ending hand #167 --",2024-12-16T21:12:59.488Z,173438357948802
"""gtodev @ sVfd-WUsjU"" collected 0.20 from pot",2024-12-16T21:12:59.488Z,173438357948801
"Uncalled bet of 0.10 returned to ""gtodev @ sVfd-WUsjU""",2024-12-16T21:12:59.488Z,173438357948800
"""eike @ codPT618if"" folds",2024-12-16T21:12:58.684Z,173438357868400
"""gtodev @ sVfd-WUsjU"" posts a big blind of 0.20",2024-12-16T21:12:57.488Z,173438357748805
"""eike @ codPT618if"" posts a small blind of 0.10",2024-12-16T21:12:57.488Z,173438357748804
"Player stacks: #1 ""eike @ codPT618if"" (30.45) | #10 ""gtodev @ sVfd-WUsjU"" (9.55)",2024-12-16T21:12:57.488Z,173438357748801
"-- starting hand #167 (id: caxranjj6zvb)  (No Limit Texas Hold'em) (dealer: ""eike @ codPT618if"") --",2024-12-16T21:12:57.488Z,173438357748800
"""gtodev @ sVfd-WUsjU"" shows a Q♥, 9♥.",2024-12-16T21:12:54.779Z,173438357477900
"""eike @ codPT618if"" shows a 7♦, K♥.",2024-12-16T21:12:53.428Z,173438357342800
"-- ending hand #166 --",2024-12-16T21:12:53.149Z,173438357314902
"""eike @ codPT618if"" collected 9.50 from pot",2024-12-16T21:12:53.149Z,173438357314901
"Uncalled bet of 9.55 returned to ""eike @ codPT618if""",2024-12-16T21:12:53.149Z,173438357314900
"""gtodev @ sVfd-WUsjU"" folds",2024-12-16T21:12:52.346Z,173438357234600
"""eike @ codPT618if"" bets 9.55",2024-12-16T21:12:49.036Z,173438356903600
"River: 9♠, 5♣, J♦, 4♣ [6♣]",2024-12-16T21:12:46.901Z,173438356690100
"""gtodev @ sVfd-WUsjU"" calls 2.50",2024-12-16T21:12:46.083Z,173438356608300
"""eike @ codPT618if"" bets 2.50",2024-12-16T21:12:44.994Z,173438356499400
"Turn: 9♠, 5♣, J♦ [4♣]",2024-12-16T21:12:43.237Z,173438356323700
"""gtodev @ sVfd-WUsjU"" calls 1.25",2024-12-16T21:12:42.418Z,173438356241800
"""eike @ codPT618if"" bets 1.25",2024-12-16T21:12:41.238Z,173438356123800
"Flop:  [9♠, 5♣, J♦]",2024-12-16T21:12:38.120Z,173438355812000
"""gtodev @ sVfd-WUsjU"" calls 1.00",2024-12-16T21:12:37.296Z,173438355729600
"""eike @ codPT618if"" raises to 1.00",2024-12-16T21:12:35.721Z,173438355572100
"""gtodev @ sVfd-WUsjU"" calls 0.20",2024-12-16T21:12:34.113Z,173438355411300
